T [C],RH [%],Short_wave_global [W/m2],,,,,,,,,,,,,,
20,80.0002,0,,,,,,,,,,,,,,
11.1252,99.6366,0,,,,,,,,,,,,,,
10.3215,76.8167,0,,,,,,,,,,,,,,
10.3085,76.5842,0,,,,,,,,,,,,,,
10.2461,79.3072,0,,,,,,,,,,,,,,
8.25388,96.0517,0,,,,,,,,,,,,,,
7.28712,93.1231,0,,,,,,,,,,,,,,
8.25693,79.2799,9.88E-07,,,,,,,,,,,,,,
8.22154,76.2635,0.28787,,,,,,,,,,,,,,
6.38143,99.6536,4.06932,,,,,,,,,,,,,,
6.70478,99.8637,12.8276,,,,,,,,,,,,,,
6.0358,99.8399,12.9548,,,,,,,,,,,,,,
6.52731,99.777,17.533,,,,,,,,,,,,,,
6.36254,98.4659,33.3356,,,,,,,,,,,,,,
7.33971,79.4899,42.3211,,,,,,,,,,,,,,
7.99826,71.1076,53.0781,,,,,,,,,,,,,,
6.88563,77.9821,40.1307,,,,,,,,,,,,,,
5.69357,86.2282,6.76308,,,,,,,,,,,,,,
5.44284,85.106,0,,,,,,,,,,,,,,
5.25962,87.8267,0,,,,,,,,,,,,,,
5.24021,88.2508,0,,,,,,,,,,,,,,
4.78554,88.8264,0,,,,,,,,,,,,,,
4.68459,88.5917,0,,,,,,,,,,,,,,
5.28675,87.6832,0,,,,,,,,,,,,,,
5.18019,99.8022,0,,,,,,,,,,,,,,
4.43499,99.8432,0,,,,,,,,,,,,,,
4.18709,99.8176,0,,,,,,,,,,,,,,
4.29919,99.7883,0,,,,,,,,,,,,,,
4.01051,99.752,0,,,,,,,,,,,,,,
3.77204,99.7035,0,,,,,,,,,,,,,,
3.62503,99.535,0,,,,,,,,,,,,,,
3.62319,98.4732,0.000243268,,,,,,,,,,,,,,
3.32167,97.5857,0.811621,,,,,,,,,,,,,,
3.64326,96.0085,8.05996,,,,,,,,,,,,,,
4.76228,88.6096,25.8984,,,,,,,,,,,,,,
5.70395,93.4145,43.8246,,,,,,,,,,,,,,
